车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
跑车,混动,汽油,双离合,2.8,2139.0,285.0,城市道路,畅通,雾天,37.9,标准,93.7,14.4,0.37,0.52,0.69,114.0,2.4,0,2,27.0,2.131,0.844,1.256,0.295,2,1,2,5.9,0.225,0.004,0.629,23.04
SUV,插电混动,柴油,CVT,2.6,1819.0,307.0,城市道路,畅通,晴天,34.8,标准,99.3,35.3,0.87,0.49,0.46,280.0,2.8,0,2,99.0,1.737,0.358,0.349,0.086,1,2,0,4.2,0.049,0.009,1.431,18.49
MPV,涡轮增压,柴油,CVT,1.1,1367.0,252.0,高速公路,畅通,雾天,21.3,激进,117.7,9.3,0.22,0.38,0.49,196.0,2.1,0,2,36.0,0.673,1.204,1.833,0.306,7,4,1,9.3,0.057,0.064,1.07,15.32
SUV,涡轮增压,柴油,双离合,2.0,1296.0,146.0,高速公路,拥堵,晴天,-1.9,激进,70.6,22.8,0.18,0.52,0.78,196.0,3.0,1,4,105.0,1.215,1.206,0.441,0.24,3,3,2,4.6,0.121,0.152,1.983,19.02
皮卡,自然吸气,柴油,自动,2.7,2260.0,357.0,山区公路,拥堵,雾天,28.9,温和,83.8,39.5,0.19,0.58,0.03,427.0,2.8,1,3,72.0,0.375,0.143,0.687,0.171,0,0,0,2.5,0.166,0.008,0.557,25.0
跑车,涡轮增压,柴油,自动,1.2,1279.0,345.0,山区公路,畅通,雾天,33.1,激进,28.4,38.9,0.56,0.31,0.22,332.0,2.5,0,3,153.0,3.398,0.888,1.053,0.18,2,1,2,9.1,0.044,0.118,2.427,25.0
轿车,涡轮增压,汽油,手动,1.8,2209.0,295.0,山区公路,缓行,雾天,9.2,激进,119.8,34.8,0.21,0.69,0.04,75.0,2.2,1,5,57.0,2.687,0.836,1.006,0.613,0,3,3,25.4,0.118,0.156,1.4,25.0
SUV,插电混动,柴油,手动,1.8,1228.0,385.0,山区公路,严重拥堵,晴天,11.6,激进,35.4,32.4,0.32,0.5,0.66,175.0,2.1,1,5,84.0,3.051,1.21,1.492,0.469,3,1,3,15.6,0.136,0.177,0.518,25.0
MPV,插电混动,柴油,自动,3.3,1714.0,382.0,高速公路,畅通,晴天,8.2,温和,36.4,33.4,0.54,0.3,0.38,267.0,2.3,0,4,89.0,1.028,0.338,0.116,0.237,2,1,0,5.3,0.115,0.041,0.459,14.26
MPV,自然吸气,汽油,手动,1.4,1885.0,186.0,山区公路,畅通,雪天,22.4,标准,114.1,33.9,0.75,0.55,0.08,223.0,2.2,0,5,80.0,1.312,0.771,0.645,0.249,2,1,2,14.4,0.13,0.015,1.136,22.92
轿车,涡轮增压,汽油,手动,3.3,1803.0,376.0,山区公路,畅通,雪天,2.1,温和,91.2,39.3,0.37,0.68,0.23,170.0,2.8,0,4,180.0,0.356,0.397,0.726,0.173,0,2,1,4.8,0.226,0.02,0.198,24.0
MPV,插电混动,汽油,自动,3.2,2201.0,259.0,山区公路,缓行,雨天,1.0,激进,63.0,30.5,0.9,0.75,0.45,409.0,2.4,1,5,192.0,2.2,0.811,0.679,0.489,4,2,3,16.7,0.078,0.072,1.992,25.0
跑车,混动,柴油,自动,1.7,2074.0,152.0,乡村公路,缓行,雾天,37.1,标准,20.6,27.7,0.29,0.22,0.54,204.0,2.3,0,2,49.0,1.485,0.505,0.252,0.388,1,0,0,5.8,0.132,0.08,1.061,18.8
皮卡,涡轮增压,汽油,手动,1.6,1349.0,249.0,乡村公路,畅通,雾天,39.5,温和,115.6,16.0,0.23,0.68,0.23,54.0,2.2,1,5,70.0,0.353,0.431,0.53,0.229,0,1,0,5.3,0.249,0.005,0.591,16.37
跑车,自然吸气,柴油,手动,2.7,1672.0,142.0,城市道路,畅通,晴天,16.5,激进,26.5,9.3,0.62,0.62,0.54,4.0,2.0,1,1,13.0,0.679,0.304,0.259,0.142,5,3,1,9.3,0.14,0.141,1.825,23.12
跑车,涡轮增压,汽油,CVT,2.2,1649.0,143.0,山区公路,缓行,雾天,-5.4,温和,83.7,31.9,0.2,0.36,0.34,357.0,2.3,1,3,129.0,1.162,0.354,0.562,0.091,0,0,1,4.6,0.292,0.009,0.857,24.52
SUV,涡轮增压,柴油,双离合,3.3,2296.0,124.0,乡村公路,拥堵,雨天,-5.4,标准,64.4,26.2,0.63,0.44,0.04,296.0,2.1,0,2,17.0,2.285,0.657,0.972,0.456,1,4,1,15.6,0.147,0.086,1.149,25.0
皮卡,涡轮增压,汽油,自动,2.6,1404.0,317.0,高速公路,畅通,雪天,0.5,标准,25.2,32.3,0.84,0.66,0.15,153.0,2.2,0,3,163.0,0.433,0.486,0.941,0.573,3,1,0,13.1,0.168,0.067,0.789,22.76
轿车,自然吸气,柴油,CVT,3.5,2242.0,330.0,高速公路,缓行,雾天,21.3,标准,37.4,28.8,0.28,0.33,0.59,150.0,2.7,0,1,193.0,0.636,0.259,0.754,0.344,2,2,3,15.5,0.093,0.114,0.779,19.74
皮卡,混动,汽油,CVT,3.2,2254.0,377.0,山区公路,畅通,雾天,22.7,温和,40.1,26.7,0.13,0.14,0.33,347.0,2.5,1,1,121.0,0.801,0.387,0.672,0.133,0,0,0,7.4,0.078,0.028,0.556,22.98
SUV,涡轮增压,柴油,CVT,2.8,1955.0,241.0,山区公路,畅通,雪天,8.7,标准,109.9,11.2,0.87,0.52,0.19,366.0,2.1,0,5,16.0,1.485,0.622,0.574,0.434,1,0,1,5.3,0.264,0.108,1.474,25.0
皮卡,插电混动,柴油,手动,1.3,1768.0,256.0,山区公路,畅通,晴天,31.3,激进,114.5,17.6,0.64,0.49,0.65,56.0,2.7,0,2,22.0,2.796,0.57,0.345,0.446,1,1,1,26.4,0.086,0.038,1.364,18.77
轿车,插电混动,汽油,CVT,2.1,1537.0,128.0,高速公路,畅通,晴天,33.6,激进,98.1,24.7,0.27,0.57,0.2,106.0,2.5,1,3,106.0,2.874,0.741,0.675,0.682,3,2,0,14.2,0.132,0.07,2.077,12.59
MPV,自然吸气,柴油,双离合,3.0,2450.0,142.0,高速公路,严重拥堵,雪天,30.7,温和,117.4,7.8,0.75,0.32,0.34,138.0,2.5,1,4,135.0,1.149,0.203,0.393,0.048,1,1,0,3.8,0.306,0.011,0.282,24.74
MPV,混动,汽油,手动,2.0,1902.0,227.0,山区公路,严重拥堵,雾天,-6.5,标准,102.1,25.2,0.67,0.6,0.06,487.0,2.9,0,2,198.0,0.848,0.622,0.193,0.428,2,3,0,7.8,0.177,0.09,0.682,25.0
SUV,插电混动,柴油,自动,2.3,1665.0,242.0,乡村公路,拥堵,晴天,26.8,标准,53.0,10.5,0.49,0.76,0.09,418.0,2.3,1,1,28.0,2.257,0.416,0.72,0.233,2,0,0,16.9,0.184,0.083,1.239,19.28
MPV,涡轮增压,柴油,自动,2.6,2276.0,396.0,高速公路,拥堵,晴天,10.7,标准,82.3,16.7,0.79,0.69,0.68,179.0,2.8,1,2,85.0,1.329,0.128,1.348,0.317,2,0,1,9.6,0.047,0.051,1.757,25.0
轿车,插电混动,柴油,自动,1.3,2093.0,260.0,山区公路,拥堵,雪天,26.6,温和,105.0,27.8,0.1,0.57,0.65,366.0,2.9,0,1,121.0,0.852,0.269,0.713,0.212,0,1,1,2.9,0.217,0.022,0.863,16.76
SUV,混动,汽油,手动,3.9,2424.0,166.0,城市道路,严重拥堵,雨天,9.0,激进,43.9,33.2,0.45,0.21,0.74,370.0,3.0,0,2,124.0,2.072,0.792,0.891,0.35,4,2,2,8.1,0.092,0.126,1.904,25.0
MPV,插电混动,汽油,手动,2.0,1755.0,177.0,城市道路,严重拥堵,雪天,3.1,温和,60.7,11.8,0.71,0.37,0.28,312.0,2.4,0,5,17.0,0.295,0.264,0.749,0.181,1,0,1,6.7,0.16,0.012,0.548,20.44
MPV,涡轮增压,柴油,双离合,2.0,1738.0,320.0,城市道路,缓行,雨天,-5.8,温和,62.2,37.2,0.61,0.72,0.16,411.0,2.7,0,1,67.0,0.465,0.318,0.107,0.287,0,2,1,6.5,0.061,0.057,0.262,22.47
MPV,混动,汽油,双离合,2.5,1542.0,214.0,乡村公路,畅通,雨天,-5.7,标准,53.3,39.3,0.21,0.2,0.78,66.0,2.5,0,3,41.0,0.748,0.759,0.446,0.236,4,0,1,4.0,0.083,0.098,0.423,13.58
SUV,自然吸气,柴油,自动,1.2,2228.0,260.0,城市道路,畅通,雾天,38.6,温和,40.5,8.3,0.56,0.52,0.55,386.0,2.8,1,3,48.0,0.234,0.097,0.638,0.235,0,1,1,5.5,0.149,0.004,0.224,19.89
皮卡,自然吸气,柴油,自动,2.3,1433.0,105.0,乡村公路,缓行,雨天,21.6,激进,65.7,39.8,0.88,0.63,0.2,394.0,2.3,1,3,9.0,1.989,0.866,1.444,0.335,6,5,3,8.6,0.084,0.175,1.776,24.86
轿车,插电混动,柴油,自动,1.0,2100.0,355.0,高速公路,缓行,晴天,31.9,标准,29.9,26.8,0.3,0.79,0.04,263.0,2.7,1,3,110.0,2.105,0.885,0.262,0.1,3,0,0,16.6,0.212,0.005,1.786,15.16
跑车,自然吸气,汽油,双离合,1.6,1834.0,168.0,乡村公路,拥堵,雾天,33.2,温和,47.7,7.5,0.63,0.47,0.53,187.0,2.5,0,5,192.0,1.025,0.273,0.734,0.092,1,0,0,2.8,0.264,0.009,0.739,22.98
跑车,自然吸气,柴油,自动,2.8,1211.0,111.0,高速公路,拥堵,雪天,-9.6,激进,41.9,18.2,0.22,0.65,0.09,22.0,2.6,0,3,115.0,1.037,0.489,1.794,0.814,2,2,1,21.2,0.05,0.084,2.044,23.44
MPV,涡轮增压,柴油,双离合,1.5,1329.0,327.0,乡村公路,畅通,雨天,3.6,温和,93.7,16.8,0.27,0.74,0.52,267.0,2.4,0,2,68.0,1.151,0.114,0.36,0.042,3,0,0,3.8,0.09,0.012,0.166,13.84
皮卡,插电混动,柴油,双离合,3.3,2052.0,158.0,山区公路,畅通,雾天,0.1,温和,59.6,20.6,0.62,0.75,0.15,202.0,2.8,0,3,147.0,1.017,0.362,0.079,0.102,0,2,1,5.3,0.221,0.044,0.432,20.98
MPV,涡轮增压,汽油,自动,3.7,1914.0,229.0,山区公路,畅通,雾天,5.1,激进,44.6,17.8,0.63,0.78,0.47,268.0,2.9,1,4,123.0,3.123,0.257,1.765,0.303,2,1,3,26.9,0.16,0.171,0.939,25.0
轿车,涡轮增压,柴油,CVT,2.1,1218.0,382.0,乡村公路,严重拥堵,晴天,13.3,标准,38.7,5.5,0.34,0.58,0.51,100.0,2.7,0,1,114.0,1.827,0.462,0.659,0.091,5,0,0,12.9,0.109,0.108,1.581,18.14
SUV,自然吸气,柴油,双离合,3.2,2001.0,378.0,乡村公路,畅通,雾天,2.5,激进,104.5,14.2,0.31,0.12,0.39,228.0,3.0,0,5,108.0,0.928,1.167,1.099,0.702,1,3,2,8.0,0.107,0.127,1.525,23.79
皮卡,插电混动,汽油,双离合,3.9,2402.0,382.0,城市道路,拥堵,晴天,18.9,激进,50.0,5.9,0.88,0.15,0.75,250.0,2.1,0,5,184.0,0.926,1.211,0.58,0.241,1,1,2,23.2,0.135,0.175,1.931,25.0
SUV,自然吸气,汽油,双离合,2.9,1336.0,368.0,山区公路,严重拥堵,雾天,-1.5,标准,82.5,21.6,0.11,0.45,0.47,356.0,2.1,1,4,114.0,2.068,0.62,1.177,0.254,1,0,3,16.2,0.116,0.032,1.643,25.0
MPV,自然吸气,汽油,手动,1.8,2306.0,208.0,高速公路,拥堵,雪天,1.5,温和,62.8,27.6,0.87,0.48,0.48,451.0,2.5,1,3,176.0,1.021,0.083,0.099,0.264,0,0,1,6.8,0.086,0.036,0.51,25.0
MPV,自然吸气,柴油,CVT,3.4,1400.0,311.0,山区公路,畅通,雾天,-8.2,温和,96.3,39.6,0.59,0.28,0.68,398.0,2.8,0,5,138.0,0.402,0.29,0.423,0.102,1,0,1,7.6,0.162,0.02,0.525,20.89
MPV,自然吸气,汽油,CVT,3.6,1912.0,235.0,山区公路,缓行,雾天,19.7,标准,35.1,20.5,0.69,0.58,0.35,384.0,2.3,1,3,28.0,1.701,0.257,0.412,0.21,3,3,2,16.7,0.119,0.052,1.057,25.0
皮卡,插电混动,汽油,CVT,3.2,1405.0,306.0,乡村公路,畅通,雪天,37.8,温和,29.5,18.4,0.59,0.2,0.53,477.0,2.6,0,5,104.0,0.607,0.238,0.452,0.147,1,2,2,2.2,0.34,0.04,0.195,17.35
MPV,插电混动,汽油,CVT,3.6,1448.0,227.0,山区公路,畅通,雨天,15.9,激进,95.3,29.0,0.18,0.52,0.02,181.0,2.0,1,2,169.0,1.752,0.655,0.407,0.475,1,4,3,25.0,0.078,0.166,1.649,22.01
跑车,涡轮增压,汽油,双离合,3.9,1866.0,229.0,城市道路,缓行,雨天,-3.3,激进,112.2,30.2,0.77,0.15,0.49,334.0,2.3,1,5,178.0,1.173,1.091,0.232,0.237,0,1,1,16.2,0.062,0.153,1.205,25.0
SUV,混动,汽油,双离合,2.3,1481.0,126.0,乡村公路,拥堵,晴天,-6.3,激进,86.6,11.7,0.74,0.73,0.41,292.0,2.7,1,4,183.0,0.452,0.433,0.863,0.753,1,2,1,6.3,0.094,0.056,2.406,22.18
SUV,混动,柴油,CVT,3.4,2405.0,184.0,高速公路,缓行,雪天,22.8,激进,101.5,33.8,0.19,0.45,0.78,416.0,2.5,0,4,142.0,2.972,0.758,1.715,0.215,1,1,0,14.3,0.11,0.03,1.266,23.37
皮卡,涡轮增压,柴油,手动,2.0,1540.0,316.0,山区公路,缓行,雾天,15.8,温和,36.6,22.3,0.36,0.61,0.77,433.0,2.9,1,1,142.0,0.351,0.33,0.463,0.085,5,0,1,2.1,0.267,0.028,0.194,22.22
皮卡,混动,汽油,CVT,3.7,1503.0,386.0,乡村公路,拥堵,雪天,-6.7,温和,70.2,27.6,0.31,0.79,0.04,431.0,2.9,1,1,182.0,0.536,0.294,0.649,0.116,0,1,0,2.8,0.245,0.019,0.568,25.0
皮卡,混动,汽油,双离合,3.7,1331.0,377.0,乡村公路,严重拥堵,雨天,-4.7,温和,68.6,7.0,0.81,0.18,0.54,142.0,2.8,0,5,85.0,0.801,0.335,0.441,0.24,1,1,1,1.8,0.223,0.018,0.269,22.57
MPV,混动,柴油,CVT,3.3,1967.0,278.0,城市道路,严重拥堵,雨天,0.2,激进,71.6,27.6,0.84,0.33,0.51,392.0,2.7,0,1,76.0,3.1,0.525,1.614,0.504,3,1,2,17.2,0.154,0.029,1.909,25.0
MPV,自然吸气,柴油,CVT,1.7,1987.0,105.0,高速公路,畅通,雪天,3.1,标准,20.1,28.9,0.15,0.25,0.75,323.0,2.7,0,5,199.0,1.216,0.518,0.857,0.147,2,1,1,16.9,0.128,0.084,1.475,16.68
皮卡,插电混动,柴油,CVT,3.4,1935.0,287.0,高速公路,拥堵,雨天,33.5,激进,100.1,6.0,0.27,0.47,0.58,90.0,2.5,1,3,76.0,0.928,0.835,1.812,0.344,2,5,3,25.3,0.119,0.04,1.545,22.09
轿车,混动,汽油,双离合,2.8,2006.0,339.0,乡村公路,缓行,雾天,29.1,激进,112.2,21.2,0.32,0.58,0.12,49.0,2.9,0,2,163.0,3.251,0.504,1.48,0.585,0,0,1,20.9,0.094,0.007,2.365,21.8
MPV,混动,柴油,双离合,2.2,2156.0,250.0,山区公路,严重拥堵,雨天,7.7,温和,106.9,22.6,0.7,0.52,0.63,55.0,2.4,1,5,22.0,1.091,0.164,0.597,0.161,3,0,0,5.2,0.078,0.006,0.367,23.25
跑车,插电混动,柴油,CVT,2.4,1955.0,388.0,城市道路,畅通,晴天,22.0,标准,30.4,33.3,0.69,0.62,0.68,483.0,2.9,0,5,25.0,0.8,0.414,0.227,0.179,4,0,1,11.4,0.149,0.003,1.197,22.04
MPV,自然吸气,柴油,手动,2.6,1568.0,339.0,高速公路,缓行,雪天,39.7,标准,89.2,39.0,0.5,0.15,0.74,229.0,2.5,1,1,84.0,0.46,0.217,0.276,0.406,3,0,2,17.8,0.124,0.043,0.727,19.19
MPV,自然吸气,汽油,自动,3.3,2212.0,295.0,山区公路,畅通,雨天,-2.0,激进,39.2,22.5,0.13,0.28,0.54,181.0,2.1,0,1,153.0,1.34,1.307,1.709,0.376,1,3,1,20.4,0.159,0.172,0.559,25.0
跑车,涡轮增压,柴油,自动,3.5,1364.0,395.0,城市道路,缓行,晴天,3.2,温和,24.4,15.9,0.9,0.27,0.68,417.0,2.5,1,1,15.0,0.293,0.2,0.685,0.209,4,0,0,4.7,0.293,0.016,0.547,24.23
轿车,自然吸气,柴油,手动,1.3,1934.0,290.0,山区公路,拥堵,雾天,2.9,温和,24.9,9.6,0.16,0.24,0.06,207.0,2.7,1,3,186.0,0.704,0.2,0.445,0.069,2,0,0,2.6,0.175,0.017,0.515,19.55
MPV,涡轮增压,汽油,双离合,2.4,2344.0,365.0,山区公路,缓行,晴天,-6.3,标准,47.3,31.0,0.21,0.36,0.3,423.0,2.5,1,4,87.0,1.552,0.799,0.218,0.59,4,4,0,11.4,0.122,0.103,0.637,25.0
MPV,混动,柴油,自动,1.5,1452.0,187.0,乡村公路,拥堵,雨天,2.3,标准,102.3,39.9,0.52,0.19,0.64,60.0,3.0,0,2,43.0,1.495,0.826,1.102,0.476,2,1,1,9.3,0.233,0.109,1.605,16.25
SUV,混动,柴油,CVT,3.7,1466.0,330.0,乡村公路,畅通,晴天,4.1,温和,64.7,33.2,0.41,0.52,0.09,257.0,2.5,0,1,157.0,0.449,0.373,0.62,0.262,0,0,0,1.9,0.184,0.054,0.344,16.08
跑车,涡轮增压,柴油,双离合,4.0,1335.0,388.0,城市道路,缓行,晴天,11.3,温和,83.9,31.5,0.24,0.52,0.12,243.0,2.8,0,4,74.0,0.228,0.428,0.16,0.133,2,1,2,6.1,0.217,0.035,0.791,23.76
MPV,混动,汽油,手动,1.9,1589.0,315.0,高速公路,拥堵,雨天,-8.7,标准,70.6,26.1,0.72,0.36,0.25,207.0,2.8,1,4,78.0,1.176,0.733,0.402,0.141,3,3,0,8.7,0.046,0.062,0.317,19.61
SUV,涡轮增压,柴油,自动,2.0,1590.0,349.0,高速公路,畅通,雾天,28.9,温和,71.1,15.1,0.65,0.52,0.25,494.0,2.7,0,5,19.0,0.296,0.285,0.691,0.156,0,0,1,7.8,0.318,0.012,0.553,17.81
SUV,自然吸气,柴油,自动,1.2,1382.0,221.0,城市道路,严重拥堵,雨天,18.0,激进,26.8,9.4,0.28,0.6,0.09,388.0,3.0,0,1,15.0,2.97,0.731,0.27,0.766,3,1,1,14.2,0.045,0.05,0.787,23.25
跑车,插电混动,柴油,手动,2.7,2280.0,246.0,城市道路,畅通,晴天,4.0,激进,39.6,21.1,0.86,0.7,0.57,201.0,2.5,0,2,133.0,3.238,1.287,1.774,0.602,0,4,0,13.0,0.133,0.091,1.911,25.0
跑车,涡轮增压,柴油,CVT,2.7,2421.0,336.0,山区公路,畅通,雨天,30.4,激进,101.5,29.4,0.17,0.79,0.06,178.0,2.3,1,5,126.0,3.269,1.135,1.345,0.507,3,2,0,7.8,0.159,0.055,1.713,25.0
MPV,涡轮增压,柴油,手动,3.1,2191.0,391.0,山区公路,拥堵,雪天,30.4,激进,90.2,16.0,0.62,0.51,0.43,5.0,2.9,0,5,55.0,0.661,0.389,2.244,0.608,3,1,1,20.8,0.177,0.043,1.804,25.0
SUV,混动,柴油,双离合,1.7,1839.0,341.0,山区公路,缓行,雾天,0.7,温和,68.9,34.1,0.56,0.79,0.43,368.0,2.2,0,3,71.0,0.381,0.066,0.209,0.163,1,0,0,7.7,0.293,0.015,0.54,21.35
轿车,涡轮增压,汽油,手动,2.4,1825.0,245.0,乡村公路,缓行,晴天,24.4,温和,76.6,21.3,0.49,0.67,0.16,231.0,2.5,1,3,59.0,0.255,0.32,0.551,0.047,4,1,1,7.0,0.291,0.034,0.727,19.09
跑车,自然吸气,柴油,手动,1.8,1871.0,153.0,乡村公路,畅通,晴天,36.2,激进,62.8,18.6,0.12,0.3,0.56,226.0,2.4,0,5,92.0,2.896,0.28,2.094,0.491,4,1,2,5.9,0.139,0.052,1.348,21.63
MPV,插电混动,汽油,手动,3.2,1634.0,371.0,山区公路,缓行,雪天,33.0,温和,41.4,31.6,0.68,0.47,0.78,234.0,2.1,0,4,80.0,0.376,0.394,0.355,0.172,1,0,0,7.3,0.356,0.02,0.655,21.05
皮卡,涡轮增压,汽油,CVT,3.6,2479.0,273.0,高速公路,缓行,雾天,30.0,标准,38.3,24.0,0.62,0.44,0.25,156.0,3.0,0,3,138.0,1.256,0.369,0.343,0.221,0,1,0,4.8,0.248,0.033,1.107,25.0
跑车,自然吸气,汽油,自动,1.5,1783.0,167.0,乡村公路,严重拥堵,雾天,0.7,激进,74.5,8.5,0.57,0.61,0.36,475.0,2.1,0,5,17.0,1.5,0.35,0.199,0.275,1,3,1,16.6,0.1,0.177,1.805,25.0
MPV,混动,柴油,手动,2.9,2415.0,148.0,高速公路,畅通,晴天,16.1,温和,69.4,9.3,0.19,0.6,0.48,56.0,2.9,1,3,28.0,0.324,0.321,0.217,0.234,1,0,0,5.4,0.224,0.041,0.755,13.33
MPV,混动,柴油,CVT,1.2,2113.0,350.0,山区公路,缓行,晴天,33.8,标准,113.2,27.5,0.35,0.56,0.14,349.0,3.0,0,3,37.0,1.598,0.886,0.985,0.569,2,0,0,3.8,0.145,0.102,0.718,20.13
轿车,插电混动,汽油,双离合,1.7,2187.0,179.0,高速公路,缓行,雨天,-9.3,温和,80.9,10.6,0.42,0.48,0.8,428.0,2.6,1,3,129.0,0.728,0.071,0.253,0.085,0,1,0,8.1,0.315,0.014,0.325,13.44
跑车,自然吸气,汽油,手动,3.2,1512.0,349.0,乡村公路,拥堵,雨天,8.3,激进,116.8,7.0,0.52,0.12,0.26,468.0,2.7,0,2,107.0,2.3,1.343,1.878,0.835,4,1,2,24.8,0.141,0.031,2.597,25.0
SUV,自然吸气,柴油,双离合,3.0,1425.0,232.0,城市道路,畅通,雨天,35.1,激进,65.8,27.1,0.86,0.37,0.47,194.0,3.0,0,5,148.0,1.272,0.904,0.703,0.555,3,3,1,8.1,0.065,0.086,0.717,22.78
轿车,自然吸气,汽油,CVT,4.0,2483.0,250.0,山区公路,缓行,雪天,38.5,标准,96.0,26.8,0.1,0.73,0.63,115.0,2.4,1,1,78.0,1.7,0.63,1.049,0.073,1,1,0,5.6,0.253,0.027,1.014,25.0
SUV,插电混动,汽油,双离合,2.0,1312.0,168.0,山区公路,畅通,晴天,14.4,标准,82.8,7.9,0.13,0.21,0.23,356.0,2.5,0,2,74.0,1.951,0.153,0.93,0.578,2,1,1,11.6,0.161,0.088,1.303,12.84
轿车,涡轮增压,汽油,双离合,2.7,1719.0,250.0,乡村公路,畅通,雾天,-4.3,标准,89.3,13.3,0.25,0.16,0.32,39.0,2.9,1,5,120.0,2.301,0.406,0.619,0.522,3,1,1,4.8,0.116,0.092,1.693,18.31
跑车,涡轮增压,汽油,自动,2.4,2128.0,115.0,高速公路,严重拥堵,雪天,15.5,标准,71.5,22.7,0.9,0.8,0.38,81.0,2.7,0,2,148.0,0.686,0.708,1.434,0.153,2,0,2,9.8,0.177,0.11,0.737,25.0
SUV,混动,柴油,CVT,3.8,1714.0,390.0,乡村公路,缓行,雪天,12.9,标准,99.6,10.0,0.29,0.66,0.37,381.0,2.6,1,2,68.0,1.295,0.781,0.808,0.432,1,0,1,9.3,0.231,0.07,0.68,22.05
轿车,涡轮增压,柴油,CVT,2.5,2237.0,358.0,城市道路,拥堵,雪天,-7.9,温和,51.0,7.8,0.3,0.72,0.53,481.0,2.4,1,3,82.0,0.499,0.159,0.376,0.213,0,1,2,5.9,0.175,0.06,0.508,25.0
SUV,插电混动,柴油,双离合,1.9,1700.0,251.0,高速公路,严重拥堵,雨天,29.2,标准,44.8,12.0,0.87,0.3,0.27,411.0,2.2,1,5,32.0,0.655,0.563,1.255,0.458,2,0,4,15.4,0.15,0.091,0.345,20.0
MPV,插电混动,柴油,CVT,1.2,1364.0,156.0,山区公路,严重拥堵,雾天,13.8,激进,34.1,16.9,0.35,0.25,0.12,337.0,3.0,1,4,165.0,2.819,0.28,2.062,0.878,1,1,1,7.0,0.135,0.118,2.224,22.19
皮卡,自然吸气,柴油,双离合,1.0,2200.0,231.0,城市道路,严重拥堵,雪天,7.4,温和,77.2,36.1,0.72,0.56,0.12,126.0,2.9,1,5,155.0,0.676,0.356,0.242,0.07,1,0,0,4.2,0.352,0.005,0.888,25.0
跑车,插电混动,柴油,手动,2.8,1736.0,101.0,乡村公路,畅通,晴天,32.1,标准,63.7,20.7,0.29,0.7,0.3,56.0,2.7,1,5,10.0,0.454,0.88,1.317,0.536,0,0,3,14.0,0.268,0.094,0.781,16.25
SUV,混动,柴油,双离合,2.3,1817.0,370.0,山区公路,畅通,雪天,32.9,温和,54.0,28.1,0.88,0.33,0.56,69.0,2.8,1,4,42.0,0.254,0.109,0.679,0.161,1,1,1,2.0,0.146,0.037,0.797,20.35
跑车,插电混动,柴油,双离合,1.8,1302.0,230.0,城市道路,畅通,雪天,-4.0,激进,113.1,20.2,0.36,0.59,0.33,350.0,2.5,1,1,16.0,2.647,1.069,0.473,0.141,3,1,0,12.6,0.139,0.116,1.43,21.16
皮卡,涡轮增压,汽油,双离合,1.4,1819.0,249.0,乡村公路,畅通,雪天,15.9,温和,53.4,35.2,0.11,0.69,0.2,8.0,2.3,0,4,89.0,0.479,0.18,0.575,0.25,1,2,0,7.0,0.159,0.021,0.856,19.23
MPV,自然吸气,汽油,自动,1.8,1231.0,125.0,城市道路,缓行,雨天,-3.3,标准,98.4,33.9,0.46,0.25,0.6,74.0,2.1,0,2,15.0,1.256,0.285,0.489,0.349,1,1,2,12.6,0.236,0.005,1.373,17.44
SUV,自然吸气,汽油,双离合,3.1,1716.0,347.0,乡村公路,拥堵,雾天,16.6,温和,102.9,10.6,0.16,0.32,0.16,400.0,2.7,1,2,152.0,1.059,0.284,0.473,0.212,2,0,0,8.0,0.208,0.05,0.589,23.62
MPV,自然吸气,柴油,手动,1.3,1300.0,112.0,山区公路,拥堵,雾天,33.8,激进,48.5,37.3,0.7,0.32,0.29,289.0,2.8,1,1,177.0,0.498,1.323,0.685,0.354,5,2,1,26.1,0.057,0.082,2.238,24.52
SUV,混动,柴油,自动,1.2,2157.0,132.0,乡村公路,缓行,雪天,4.6,温和,92.8,9.3,0.21,0.61,0.26,147.0,2.6,1,5,101.0,0.233,0.314,0.581,0.073,0,1,0,3.9,0.351,0.025,0.694,16.03
MPV,自然吸气,柴油,CVT,1.7,1816.0,377.0,乡村公路,缓行,雪天,1.7,激进,27.0,8.1,0.63,0.14,0.36,225.0,2.6,0,2,123.0,0.722,0.95,1.967,0.412,0,1,2,15.2,0.116,0.163,0.957,23.75
跑车,插电混动,柴油,手动,1.3,2450.0,192.0,城市道路,缓行,晴天,31.1,激进,92.4,32.5,0.65,0.18,0.3,414.0,2.2,0,5,108.0,3.034,0.897,0.622,0.737,8,1,1,21.2,0.156,0.13,2.435,25.0
轿车,插电混动,柴油,手动,1.8,2221.0,314.0,山区公路,缓行,晴天,-5.3,温和,118.6,36.9,0.15,0.19,0.8,307.0,2.3,1,5,76.0,0.226,0.302,0.714,0.22,4,0,0,7.2,0.136,0.024,0.753,17.0
